trial,date,tank,urchinGroup,pycnoTreat,algalTreat,minutes,interacting
025,2021-08-22,TF2,starved,pycno,nereo,30,1
025,2021-08-22,TF2,starved,pycno,nereo,35,1
025,2021-08-22,TF2,starved,pycno,nereo,40,1
025,2021-08-22,TF2,starved,pycno,nereo,45,1
025,2021-08-22,TF2,starved,pycno,nereo,50,1
025,2021-08-22,TF2,starved,pycno,nereo,55,1
025,2021-08-22,TF2,starved,pycno,nereo,60,1
026,2021-08-22,TF1,fed,control,nereo,5,0
026,2021-08-22,TF1,fed,control,nereo,10,0
026,2021-08-22,TF1,fed,control,nereo,15,0
026,2021-08-22,TF1,fed,control,nereo,20,0
026,2021-08-22,TF1,fed,control,nereo,25,0
026,2021-08-22,TF1,fed,control,nereo,30,0
026,2021-08-22,TF1,fed,control,nereo,35,0
026,2021-08-22,TF1,fed,control,nereo,40,0
026,2021-08-22,TF1,fed,control,nereo,45,0
026,2021-08-22,TF1,fed,control,nereo,50,0
026,2021-08-22,TF1,fed,control,nereo,55,0
026,2021-08-22,TF1,fed,control,nereo,60,0
027,2021-08-23,TF2,starved,pycno,nereo,5,0
027,2021-08-23,TF2,starved,pycno,nereo,10,0
027,2021-08-23,TF2,starved,pycno,nereo,15,0
027,2021-08-23,TF2,starved,pycno,nereo,20,0.6
027,2021-08-23,TF2,starved,pycno,nereo,25,1
027,2021-08-23,TF2,starved,pycno,nereo,30,1
027,2021-08-23,TF2,starved,pycno,nereo,35,1
027,2021-08-23,TF2,starved,pycno,nereo,40,1
027,2021-08-23,TF2,starved,pycno,nereo,45,1
027,2021-08-23,TF2,starved,pycno,nereo,50,1
027,2021-08-23,TF2,starved,pycno,nereo,55,1
027,2021-08-23,TF2,starved,pycno,nereo,60,1
028,2021-08-23,TF1,starved,control,nereo,5,1
028,2021-08-23,TF1,starved,control,nereo,10,1
028,2021-08-23,TF1,starved,control,nereo,15,1
028,2021-08-23,TF1,starved,control,nereo,20,1
028,2021-08-23,TF1,starved,control,nereo,25,1
028,2021-08-23,TF1,starved,control,nereo,30,1
028,2021-08-23,TF1,starved,control,nereo,35,1
028,2021-08-23,TF1,starved,control,nereo,40,1
028,2021-08-23,TF1,starved,control,nereo,45,1
028,2021-08-23,TF1,starved,control,nereo,50,1
028,2021-08-23,TF1,starved,control,nereo,55,1
028,2021-08-23,TF1,starved,control,nereo,60,1
029,2021-08-24,TF2,starved,control,nereo,5,0
029,2021-08-24,TF2,starved,control,nereo,10,0
029,2021-08-24,TF2,starved,control,nereo,15,0
029,2021-08-24,TF2,starved,control,nereo,20,0
029,2021-08-24,TF2,starved,control,nereo,25,0
029,2021-08-24,TF2,starved,control,nereo,30,0
029,2021-08-24,TF2,starved,control,nereo,35,0
029,2021-08-24,TF2,starved,control,nereo,40,0
029,2021-08-24,TF2,starved,control,nereo,45,0.4
029,2021-08-24,TF2,starved,control,nereo,50,1
029,2021-08-24,TF2,starved,control,nereo,55,1
029,2021-08-24,TF2,starved,control,nereo,60,1
030,2021-08-24,TF1,fed,control,nereo,5,0
030,2021-08-24,TF1,fed,control,nereo,10,0
030,2021-08-24,TF1,fed,control,nereo,15,0
030,2021-08-24,TF1,fed,control,nereo,20,0
030,2021-08-24,TF1,fed,control,nereo,25,0
030,2021-08-24,TF1,fed,control,nereo,30,0
030,2021-08-24,TF1,fed,control,nereo,35,0
030,2021-08-24,TF1,fed,control,nereo,40,0
030,2021-08-24,TF1,fed,control,nereo,45,0
030,2021-08-24,TF1,fed,control,nereo,50,0
030,2021-08-24,TF1,fed,control,nereo,55,0
030,2021-08-24,TF1,fed,control,nereo,60,0
031,2021-08-25,TF2,starved,control,control,5,0
031,2021-08-25,TF2,starved,control,control,10,0
031,2021-08-25,TF2,starved,control,control,15,0
031,2021-08-25,TF2,starved,control,control,20,0
031,2021-08-25,TF2,starved,control,control,25,0
031,2021-08-25,TF2,starved,control,control,30,0
031,2021-08-25,TF2,starved,control,control,35,0
031,2021-08-25,TF2,starved,control,control,40,0
031,2021-08-25,TF2,starved,control,control,45,0
031,2021-08-25,TF2,starved,control,control,50,0
031,2021-08-25,TF2,starved,control,control,55,0
031,2021-08-25,TF2,starved,control,control,60,0
032,2021-08-25,TF1,fed,control,control,5,1
032,2021-08-25,TF1,fed,control,control,10,1
032,2021-08-25,TF1,fed,control,control,15,1
032,2021-08-25,TF1,fed,control,control,20,0
032,2021-08-25,TF1,fed,control,control,25,0
032,2021-08-25,TF1,fed,control,control,30,0.8
032,2021-08-25,TF1,fed,control,control,35,0
032,2021-08-25,TF1,fed,control,control,40,0
032,2021-08-25,TF1,fed,control,control,45,0
032,2021-08-25,TF1,fed,control,control,50,0
032,2021-08-25,TF1,fed,control,control,55,0
032,2021-08-25,TF1,fed,control,control,60,0
033,2021-08-26,TF2,fed,pycno,control,5,0.2
033,2021-08-26,TF2,fed,pycno,control,10,0
033,2021-08-26,TF2,fed,pycno,control,15,0
033,2021-08-26,TF2,fed,pycno,control,20,0
033,2021-08-26,TF2,fed,pycno,control,25,0
033,2021-08-26,TF2,fed,pycno,control,30,0
033,2021-08-26,TF2,fed,pycno,control,35,0
033,2021-08-26,TF2,fed,pycno,control,40,0
033,2021-08-26,TF2,fed,pycno,control,45,0
033,2021-08-26,TF2,fed,pycno,control,50,0
033,2021-08-26,TF2,fed,pycno,control,55,0
033,2021-08-26,TF2,fed,pycno,control,60,0
034,2021-08-26,TF1,fed,control,control,5,0
034,2021-08-26,TF1,fed,control,control,10,0.2
034,2021-08-26,TF1,fed,control,control,15,1
034,2021-08-26,TF1,fed,control,control,20,0.6
034,2021-08-26,TF1,fed,control,control,25,0
034,2021-08-26,TF1,fed,control,control,30,0
034,2021-08-26,TF1,fed,control,control,35,0
034,2021-08-26,TF1,fed,control,control,40,0
034,2021-08-26,TF1,fed,control,control,45,0
034,2021-08-26,TF1,fed,control,control,50,0
034,2021-08-26,TF1,fed,control,control,55,0.6
034,2021-08-26,TF1,fed,control,control,60,0
035,2021-08-27,TF2,starved,pycno,nereo,5,1
035,2021-08-27,TF2,starved,pycno,nereo,10,1
035,2021-08-27,TF2,starved,pycno,nereo,15,1
035,2021-08-27,TF2,starved,pycno,nereo,20,1
035,2021-08-27,TF2,starved,pycno,nereo,25,1
035,2021-08-27,TF2,starved,pycno,nereo,30,1
035,2021-08-27,TF2,starved,pycno,nereo,35,1
035,2021-08-27,TF2,starved,pycno,nereo,40,1
035,2021-08-27,TF2,starved,pycno,nereo,45,1
035,2021-08-27,TF2,starved,pycno,nereo,50,1
035,2021-08-27,TF2,starved,pycno,nereo,55,1
035,2021-08-27,TF2,starved,pycno,nereo,60,1
036,2021-08-27,TF1,fed,pycno,control,5,0
036,2021-08-27,TF1,fed,pycno,control,10,0
036,2021-08-27,TF1,fed,pycno,control,15,0
036,2021-08-27,TF1,fed,pycno,control,20,0
036,2021-08-27,TF1,fed,pycno,control,25,0
036,2021-08-27,TF1,fed,pycno,control,30,0
036,2021-08-27,TF1,fed,pycno,control,35,0
036,2021-08-27,TF1,fed,pycno,control,40,0
036,2021-08-27,TF1,fed,pycno,control,45,0
036,2021-08-27,TF1,fed,pycno,control,50,0
036,2021-08-27,TF1,fed,pycno,control,55,0
036,2021-08-27,TF1,fed,pycno,control,60,0
037,2021-08-28,TF2,fed,pycno,control,5,0
037,2021-08-28,TF2,fed,pycno,control,10,0
037,2021-08-28,TF2,fed,pycno,control,15,0
037,2021-08-28,TF2,fed,pycno,control,20,0
037,2021-08-28,TF2,fed,pycno,control,25,0
037,2021-08-28,TF2,fed,pycno,control,30,0
037,2021-08-28,TF2,fed,pycno,control,35,0
037,2021-08-28,TF2,fed,pycno,control,40,0
037,2021-08-28,TF2,fed,pycno,control,45,0
037,2021-08-28,TF2,fed,pycno,control,50,0
037,2021-08-28,TF2,fed,pycno,control,55,0
037,2021-08-28,TF2,fed,pycno,control,60,0
038,2021-08-28,TF1,fed,control,control,5,0
038,2021-08-28,TF1,fed,control,control,10,0.2
038,2021-08-28,TF1,fed,control,control,15,0
038,2021-08-28,TF1,fed,control,control,20,0
038,2021-08-28,TF1,fed,control,control,25,0
038,2021-08-28,TF1,fed,control,control,30,0
038,2021-08-28,TF1,fed,control,control,35,0
038,2021-08-28,TF1,fed,control,control,40,0
038,2021-08-28,TF1,fed,control,control,45,0.2
038,2021-08-28,TF1,fed,control,control,50,0
038,2021-08-28,TF1,fed,control,control,55,0
038,2021-08-28,TF1,fed,control,control,60,0
039,2021-08-28,TF2,starved,control,control,5,0
039,2021-08-28,TF2,starved,control,control,10,0
039,2021-08-28,TF2,starved,control,control,15,0
039,2021-08-28,TF2,starved,control,control,20,0
039,2021-08-28,TF2,starved,control,control,25,0
039,2021-08-28,TF2,starved,control,control,30,0
039,2021-08-28,TF2,starved,control,control,35,0
039,2021-08-28,TF2,starved,control,control,40,0
039,2021-08-28,TF2,starved,control,control,45,0
039,2021-08-28,TF2,starved,control,control,50,0
039,2021-08-28,TF2,starved,control,control,55,0
039,2021-08-28,TF2,starved,control,control,60,0
040,2021-08-28,TF1,starved,control,nereo,5,0
040,2021-08-28,TF1,starved,control,nereo,10,0
040,2021-08-28,TF1,starved,control,nereo,15,0
040,2021-08-28,TF1,starved,control,nereo,20,0
040,2021-08-28,TF1,starved,control,nereo,25,0
040,2021-08-28,TF1,starved,control,nereo,30,0
040,2021-08-28,TF1,starved,control,nereo,35,0
040,2021-08-28,TF1,starved,control,nereo,40,0
040,2021-08-28,TF1,starved,control,nereo,45,0
040,2021-08-28,TF1,starved,control,nereo,50,0
040,2021-08-28,TF1,starved,control,nereo,55,0
040,2021-08-28,TF1,starved,control,nereo,60,0
041,2021-08-29,TF2,starved,control,control,5,0
041,2021-08-29,TF2,starved,control,control,10,0
041,2021-08-29,TF2,starved,control,control,15,0
041,2021-08-29,TF2,starved,control,control,20,0
041,2021-08-29,TF2,starved,control,control,25,0
041,2021-08-29,TF2,starved,control,control,30,0
041,2021-08-29,TF2,starved,control,control,35,0
041,2021-08-29,TF2,starved,control,control,40,0
041,2021-08-29,TF2,starved,control,control,45,0
041,2021-08-29,TF2,starved,control,control,50,0.6
041,2021-08-29,TF2,starved,control,control,55,0.6
041,2021-08-29,TF2,starved,control,control,60,0
042,2021-08-29,TF1,starved,pycno,control,5,0.6
042,2021-08-29,TF1,starved,pycno,control,10,0
042,2021-08-29,TF1,starved,pycno,control,15,0
042,2021-08-29,TF1,starved,pycno,control,20,0
042,2021-08-29,TF1,starved,pycno,control,25,0
042,2021-08-29,TF1,starved,pycno,control,30,0
042,2021-08-29,TF1,starved,pycno,control,35,0
042,2021-08-29,TF1,starved,pycno,control,40,0
042,2021-08-29,TF1,starved,pycno,control,45,0
042,2021-08-29,TF1,starved,pycno,control,50,0
042,2021-08-29,TF1,starved,pycno,control,55,0
042,2021-08-29,TF1,starved,pycno,control,60,0
043,2021-08-29,TF2,fed,pycno,nereo,5,1
043,2021-08-29,TF2,fed,pycno,nereo,10,1
043,2021-08-29,TF2,fed,pycno,nereo,15,1
043,2021-08-29,TF2,fed,pycno,nereo,20,1
043,2021-08-29,TF2,fed,pycno,nereo,25,1
043,2021-08-29,TF2,fed,pycno,nereo,30,1
043,2021-08-29,TF2,fed,pycno,nereo,35,1
043,2021-08-29,TF2,fed,pycno,nereo,40,0.8
043,2021-08-29,TF2,fed,pycno,nereo,45,0
043,2021-08-29,TF2,fed,pycno,nereo,50,0
043,2021-08-29,TF2,fed,pycno,nereo,55,0
043,2021-08-29,TF2,fed,pycno,nereo,60,0
044,2021-08-29,TF1,fed,pycno,nereo,5,0
044,2021-08-29,TF1,fed,pycno,nereo,10,0
044,2021-08-29,TF1,fed,pycno,nereo,15,0
044,2021-08-29,TF1,fed,pycno,nereo,20,0
044,2021-08-29,TF1,fed,pycno,nereo,25,1
044,2021-08-29,TF1,fed,pycno,nereo,30,0.4
044,2021-08-29,TF1,fed,pycno,nereo,35,0
044,2021-08-29,TF1,fed,pycno,nereo,40,0
044,2021-08-29,TF1,fed,pycno,nereo,45,0
044,2021-08-29,TF1,fed,pycno,nereo,50,0
044,2021-08-29,TF1,fed,pycno,nereo,55,0
044,2021-08-29,TF1,fed,pycno,nereo,60,0
045,2021-08-30,TF2,fed,pycno,nereo,5,1
045,2021-08-30,TF2,fed,pycno,nereo,10,1
045,2021-08-30,TF2,fed,pycno,nereo,15,0
045,2021-08-30,TF2,fed,pycno,nereo,20,0
045,2021-08-30,TF2,fed,pycno,nereo,25,0
045,2021-08-30,TF2,fed,pycno,nereo,30,0
045,2021-08-30,TF2,fed,pycno,nereo,35,0
045,2021-08-30,TF2,fed,pycno,nereo,40,0
045,2021-08-30,TF2,fed,pycno,nereo,45,0
045,2021-08-30,TF2,fed,pycno,nereo,50,0
045,2021-08-30,TF2,fed,pycno,nereo,55,0.4
045,2021-08-30,TF2,fed,pycno,nereo,60,0.4
046,2021-08-30,TF1,starved,pycno,control,5,0
046,2021-08-30,TF1,starved,pycno,control,10,0
046,2021-08-30,TF1,starved,pycno,control,15,0
046,2021-08-30,TF1,starved,pycno,control,20,0
046,2021-08-30,TF1,starved,pycno,control,25,0
046,2021-08-30,TF1,starved,pycno,control,30,0
046,2021-08-30,TF1,starved,pycno,control,35,0
046,2021-08-30,TF1,starved,pycno,control,40,0
046,2021-08-30,TF1,starved,pycno,control,45,0
046,2021-08-30,TF1,starved,pycno,control,50,0
046,2021-08-30,TF1,starved,pycno,control,55,0
046,2021-08-30,TF1,starved,pycno,control,60,0
047,2021-08-30,TF2,starved,pycno,control,5,1
047,2021-08-30,TF2,starved,pycno,control,10,1
047,2021-08-30,TF2,starved,pycno,control,15,1
047,2021-08-30,TF2,starved,pycno,control,20,0.4
047,2021-08-30,TF2,starved,pycno,control,25,0
047,2021-08-30,TF2,starved,pycno,control,30,0
047,2021-08-30,TF2,starved,pycno,control,35,0
047,2021-08-30,TF2,starved,pycno,control,40,0
047,2021-08-30,TF2,starved,pycno,control,45,0
047,2021-08-30,TF2,starved,pycno,control,50,0
047,2021-08-30,TF2,starved,pycno,control,55,0
047,2021-08-30,TF2,starved,pycno,control,60,0
048,2021-08-30,TF1,fed,control,nereo,5,0.4
048,2021-08-30,TF1,fed,control,nereo,10,0
048,2021-08-30,TF1,fed,control,nereo,15,0
048,2021-08-30,TF1,fed,control,nereo,20,0
048,2021-08-30,TF1,fed,control,nereo,25,0
048,2021-08-30,TF1,fed,control,nereo,30,0.6
048,2021-08-30,TF1,fed,control,nereo,35,0
048,2021-08-30,TF1,fed,control,nereo,40,0
048,2021-08-30,TF1,fed,control,nereo,45,0
048,2021-08-30,TF1,fed,control,nereo,50,0
048,2021-08-30,TF1,fed,control,nereo,55,0
048,2021-08-30,TF1,fed,control,nereo,60,0
049,2021-09-04,TF2,starved,control,nereo,5,1
049,2021-09-04,TF2,starved,control,nereo,10,0.4
049,2021-09-04,TF2,starved,control,nereo,15,0
049,2021-09-04,TF2,starved,control,nereo,20,0
049,2021-09-04,TF2,starved,control,nereo,25,0
049,2021-09-04,TF2,starved,control,nereo,30,0
049,2021-09-04,TF2,starved,control,nereo,35,0
049,2021-09-04,TF2,starved,control,nereo,40,0
049,2021-09-04,TF2,starved,control,nereo,45,0
049,2021-09-04,TF2,starved,control,nereo,50,0
049,2021-09-04,TF2,starved,control,nereo,55,0
049,2021-09-04,TF2,starved,control,nereo,60,0
